epoch,total,physics,heat,visc,ic,bc,bc_disp,bc_flux,data,data_temp,data_disp
0,363.6102600097656,0.0895453691482544,0.0834936797618866,0.006051689852029085,292114.15625,2.505749396403834e+19,2.505749396403834e+19,0.001469913637265563,4196132.5,0.7425707578659058,4196132.0
1,305.28564453125,0.08259052783250809,0.07700908929109573,0.005581434350460768,291832.78125,3.3315284784984883e+18,3.3315284784984883e+18,0.001549077802337706,599180.5,0.7522487044334412,599179.75
2,336.21026611328125,0.031503282487392426,0.029374390840530396,0.002128893043845892,291659.15625,1.4943867978016358e+18,1.4943867978016358e+18,0.0015355824725702405,4148153.5,0.7502809762954712,4148152.75
3,332.613525390625,0.029660664498806,0.027656225487589836,0.002004437381401658,291463.875,9.670675494705562e+17,9.670675494705562e+17,0.0015382610727101564,3869951.25,0.749501645565033,3869950.5
4,317.7101135253906,0.028118658810853958,0.02621842734515667,0.0019002326298505068,291231.15625,9.691245295676948e+17,9.691245295676948e+17,0.001556885545141995,2410388.5,0.7500902414321899,2410387.75
5,304.0106201171875,0.03532928228378296,0.03294174373149872,0.0023875446058809757,290982.40625,9.896192201510093e+17,9.896192201510093e+17,0.001560339704155922,1027211.6875,0.7494807839393616,1027210.9375
6,297.9481201171875,0.03220581263303757,0.03002931736409664,0.0021764966659247875,290736.53125,1.0584495414029844e+18,1.0584495414029844e+18,0.0015402809949591756,454284.65625,0.7481030225753784,454283.90625
7,303.81695556640625,0.023834867402911186,0.022224053740501404,0.0016108129639178514,290500.375,1.2462907950870036e+18,1.2462907950870036e+18,0.001503581996075809,1087853.25,0.7460464835166931,1087852.5
8,295.1803894042969,0.017410827800631523,0.01623416319489479,0.001176662859506905,290270.90625,8.986563483071939e+17,8.986563483071939e+17,0.0014753476716578007,314025.46875,0.7436586022377014,314024.71875
9,299.8104248046875,0.01841709576547146,0.01717243902385235,0.0012446576729416847,290044.75,8.587350052479959e+17,8.587350052479959e+17,0.0014479801757261157,798605.6875,0.7406724691390991,798604.9375
10,292.1657409667969,0.030826691538095474,0.02874339185655117,0.0020832994487136602,289821.125,7.909157536572375e+17,7.909157536572375e+17,0.0014252433320507407,1235.333984375,0.7384153604507446,1234.5955810546875
11,293.1007080078125,0.03836061805486679,0.03576816990971565,0.002592452336102724,289597.8125,7.674802817864827e+17,7.674802817864827e+17,0.0014101944398134947,81735.484375,0.7362963557243347,81734.75
12,291.69561767578125,0.0308484248816967,0.028763651847839355,0.0020847704727202654,289379.5,7.273755951633531e+17,7.273755951633531e+17,0.0014044500421732664,4628.39599609375,0.7344329357147217,4627.66162109375
13,291.77850341796875,0.023482458665966988,0.021895473822951317,0.0015869842609390616,289172.15625,6.616239064691507e+17,6.616239064691507e+17,0.0014014123007655144,77057.3125,0.7326381802558899,77056.578125
14,290.8797302246094,0.024563360959291458,0.022903287783265114,0.0016600749222561717,288980.1875,5.918091787129324e+17,5.918091787129324e+17,0.0013942053774371743,7955.55078125,0.7306033968925476,7954.8203125
