stage,nu,seed,rel_l2,run_time_seconds
adam,0.010000,42,3.30595086e-03,126.354417
lbfgs,0.010000,42,2.28054211e-03,156.668851
pso,0.010000,42,2.35742519e-01,136.567086
best:lbfgs,0.010000,42,2.28054211e-03,156.668851
