stage,beta,seed,rel_l2,run_time_seconds
adam,0.100000,46,2.04803543e-02,505.436180
lbfgs,0.100000,46,5.12100115e-03,521.188137
best:lbfgs,0.100000,46,5.12100115e-03,521.188137
