stage,beta,seed,rel_l2,run_time_seconds
adam,1.000000,47,1.36305767e-02,841.443203
lbfgs,1.000000,47,1.36296763e-02,842.161955
best:lbfgs,1.000000,47,1.36296763e-02,842.161955
