y_coord,time_s,delta_temp_error_vs_baseline
-0.20000000298023224,0.0,-1.65399169921875
-0.20000000298023224,5.0,1.8841552734375
-0.20000000298023224,10.0,2.44061279296875
-0.20000000298023224,15.0,2.25079345703125
-0.20000000298023224,20.0,2.29248046875
-0.20000000298023224,25.0,2.43701171875
-0.20000000298023224,30.0,2.89373779296875
-0.06666666269302368,0.0,-3.17425537109375
-0.06666666269302368,5.0,3.58526611328125
-0.06666666269302368,10.0,3.927001953125
-0.06666666269302368,15.0,3.71759033203125
-0.06666666269302368,20.0,3.8074951171875
-0.06666666269302368,25.0,3.8505859375
-0.06666666269302368,30.0,4.0191650390625
0.06666667759418488,0.0,-4.69635009765625
0.06666667759418488,5.0,5.33660888671875
0.06666667759418488,10.0,5.4453125
0.06666667759418488,15.0,5.21136474609375
0.06666667759418488,20.0,5.323974609375
0.06666667759418488,25.0,5.2420654296875
0.06666667759418488,30.0,5.11297607421875
0.19999998807907104,0.0,-6.44305419921875
0.19999998807907104,5.0,7.1256103515625
0.19999998807907104,10.0,6.9798583984375
0.19999998807907104,15.0,6.71875
0.19999998807907104,20.0,6.829345703125
0.19999998807907104,25.0,6.60009765625
0.19999998807907104,30.0,6.1666259765625
