y_coord,time_s,abs_temp_error
-0.20000000298023224,0.0,478.23114013671875
-0.20000000298023224,5.0,464.2193603515625
-0.20000000298023224,10.0,455.318359375
-0.20000000298023224,15.0,450.4293212890625
-0.20000000298023224,20.0,447.3102111816406
-0.20000000298023224,25.0,445.30072021484375
-0.20000000298023224,30.0,443.70465087890625
-0.06666666269302368,0.0,475.2550048828125
-0.06666666269302368,5.0,461.19561767578125
-0.06666666269302368,10.0,452.4998779296875
-0.06666666269302368,15.0,447.63238525390625
-0.06666666269302368,20.0,444.4664611816406
-0.06666666269302368,25.0,442.55255126953125
-0.06666666269302368,30.0,441.2476806640625
0.06666667759418488,0.0,472.1187744140625
0.06666667759418488,5.0,458.07220458984375
0.06666667759418488,10.0,449.61376953125
0.06666667759418488,15.0,444.776123046875
0.06666667759418488,20.0,441.5872497558594
0.06666667759418488,25.0,439.79705810546875
0.06666667759418488,30.0,438.7939453125
0.19999998807907104,0.0,468.8292236328125
0.19999998807907104,5.0,454.86212158203125
0.19999998807907104,10.0,446.6759033203125
0.19999998807907104,15.0,441.8734130859375
0.19999998807907104,20.0,438.6849670410156
0.19999998807907104,25.0,437.0462646484375
0.19999998807907104,30.0,436.3514404296875
