y_coord,time_s,delta_temp_error_vs_baseline
-0.20000000298023224,0.0,0.0
-0.20000000298023224,5.0,0.0
-0.20000000298023224,10.0,0.0
-0.20000000298023224,15.0,0.0
-0.20000000298023224,20.0,0.0
-0.20000000298023224,25.0,0.0
-0.20000000298023224,30.0,0.0
-0.06666666269302368,0.0,0.0
-0.06666666269302368,5.0,0.0
-0.06666666269302368,10.0,0.0
-0.06666666269302368,15.0,0.0
-0.06666666269302368,20.0,0.0
-0.06666666269302368,25.0,0.0
-0.06666666269302368,30.0,0.0
0.06666667759418488,0.0,0.0
0.06666667759418488,5.0,0.0
0.06666667759418488,10.0,0.0
0.06666667759418488,15.0,0.0
0.06666667759418488,20.0,0.0
0.06666667759418488,25.0,0.0
0.06666667759418488,30.0,0.0
0.19999998807907104,0.0,0.0
0.19999998807907104,5.0,0.0
0.19999998807907104,10.0,0.0
0.19999998807907104,15.0,0.0
0.19999998807907104,20.0,0.0
0.19999998807907104,25.0,0.0
0.19999998807907104,30.0,0.0
