stage,beta,seed,rel_l2,run_time_seconds
adam,0.500000,45,1.06717541e-01,701.572318
lbfgs,0.500000,45,5.15290354e-03,750.526593
best:lbfgs,0.500000,45,5.15290354e-03,750.526593
